Ano;Mes;Categoria;Sub-categoria;Producto;Pais;Cadena;Marca;Marca_propia;Peso_Volumen;Promocion;Precio_Normal;Precio_Oferta
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Villavicencio;0;0,5;0;ARS56,27;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Benedictino;0;6,500;0;$1.620;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Benedictino;0;6,500;0;$1.620;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Benedictino;0;1,500;0;$740;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Cachantun;0;0,500;0;$659;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Cachantun;0;1,000;0;$789;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Cachantun;0;6,000;0;$1.699;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Cachantun;0;6,000;0;$1.699;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Cachantun;0;1,600;0;$720;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Cuisine & Co.;1;6,000;0;$1.290;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Nestlé;0;6,000;0;$1.549;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Vital;0;0,600;0;$700;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Vital;0;1,600;0;$640;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Jumbo;Vital;0;1,600;0;$690;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Benedictino;0;2,000;0;$750;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Benedictino;0;3,000;0;$1.050;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Benedictino;0;6,500;0;$1.550;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Benedictino;0;2,000;0;$750;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Cachantun;0;0,500;0;$630;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Cachantun;0;1,600;0;$700;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Cachantun;0;6,000;1;$1.630;$1.490
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Cachantun;0;6,000;0;$1.490;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Cachantun;0;1,600;0;$680;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Great Value;0;0,500;0;$490;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Lider;1;1,600;0;$570;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Lider;1;6,000;0;$1.250;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Lider;1;6,000;0;$1.250;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Lider;1;1,600;0;$600;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Nestlé;0;6,000;0;$1.500;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Puyehue;0;1,500;1;$890;$750
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Vital;0;0,600;0;$570;
2021;Octubre;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Vital;0;1,600;0;$630;
2022;Febrero;Aguas;Agua mineral;Agua sin gas;Chile;Lider;Vital;0;1,600;0;$630;
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Brisa;0;0,600;0;$1.550;
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Brisa;0;3,000;0;$3.570;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Brisa;0;0,600;0;$1.705;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Brisa;0;3,000;0;$3.570;
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Éxito;1;1,100;0;$1.000;
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Éxito;1;5,000;0;$4.750;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Éxito;1;1,100;0;$1.000;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Éxito;1;5,000;0;$4.750;
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Frescampo;0;1,100;0;$980;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Frescampo;0;1,100;0;$980;
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Manantial;0;0,600;1;$1.850;$1.387
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Manantial;0;1,500;1;$3.630;$2.722
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Manantial;0;0,600;1;$1.665;$1.565
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Colombia;Éxito;Manantial;0;1,500;1;$3.630;$3.412
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Olímpica;Agua Mas;0;4,000;0;$3.200;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Colombia;Olímpica;Agua Mas;0;4,000;0;$3.200;
2021;Noviembre;Aguas;Agua mineral;Agua sin gas;Colombia;Olímpica;Brisa;0;6,000;0;$6.630;
